"","Data","Talktime","Days","Months","Price","Price per month","Price per day","Total Data","Data per month","3G Data","2G Data","Total 3G Data per month","3G Data per day","Total Data Per Day","Rank(Days)","Rank(Price per day)","Rank(3G Data per day)","Rank(Data per month)","Score","Final Rank"
"1",4,"BSNL UL",30,1,379,379,12.63,720,120,120,0,240,8,8,49.8044444444444,25.2651826015593,0.337916666666667,0.415,75.8225437126704,13
"2",3,"UL",84,2.8,1099,392.5,13.08,540,90,252,0,180,6,6,9.57777777777778,30.1908083709479,0.901111111111111,1.38333333333333,42.0530305931701,6
"3",1.5,"BSNL UL",60,2,444,222,7.4,270,45,90,0,90,3,3,17.24,13.0949938448913,3.15388888888889,6.64,40.1288827337802,5
"4",3,"BSNL UL",26,0.87,339,391.15,13.04,540,90,0,78,90,3,6,66.3076923076923,28.0919162905211,3.15388888888889,1.38333333333333,98.9368308204357,15
"5",2,"UL",180,6,446,74.33,2.48,360,60,0,168,60,2,2.93,2.87333333333333,0.763233483791547,11.4891666666667,3.735,18.8607334837915,1
"6",2,"UL",180,6,666,111,3.7,360,60,0,120,60,2,2.67,2.87333333333333,2.84673779236766,11.4891666666667,3.735,20.9442377923677,2
"7",1,"UL",181,6.03,999,165.58,5.52,180,30,181,0,60,2,2,1.26998158379374,5.09643003693065,11.4891666666667,19.09,36.9455782873911,4
"8",1,"UL",75,2.5,429,171.6,5.72,180,30,75,0,60,2,2,12.2595555555556,6.16126384899466,11.4891666666667,19.09,48.9999860712169,9
"9",1,"L",56,1.87,395,211.61,7.05,180,30,56,0,60,2,2,20.5238095238095,10.8483791546984,11.4891666666667,19.09,61.9513553451746,11
"10",1,"UL",54,1.8,349,193.89,6.46,180,30,54,0,60,2,2,23.4123456790123,7.9524004924087,11.4891666666667,19.09,61.9439128380877,10
"11",1,"BSNL UL",45,1.5,333,222,7.4,180,30,45,0,60,2,2,30.6488888888889,13.0949938448913,11.4891666666667,19.09,74.3230494004468,12
"12",1,"UL",28,0.93,187,200.36,6.68,180,30,28,0,60,2,2,57.4666666666667,9.25112843660238,11.4891666666667,19.09,97.2969617699357,14
"13",1.4,"UL",180,6,186,31,1.03,252,42,39.2,0,48.53,1.62,1.62,2.87333333333333,0.158494050061551,21.6934156378601,8.3,33.025243021255,3
"14",1,"UL",180,6,485,80.83,2.69,180,30,90,0,45,1.5,1.5,2.87333333333333,1.65572425112844,25.2311111111111,19.09,48.8501686955729,7
"15",1,"UL",365,12,949,79.08,2.6,180,30,157,0,43.08,1.43,1.43,0.314885844748858,1.20024620434961,28.3566433566434,19.09,48.9617754057418,8
